	world	description	category	animating	footprintx	footprintz	height	filename	seqname	seqnameshad	animtrans	shadtrans	hitdensity	metal	damage	indestructible	seqnamereclamate	energy	seqnameburn	seqnameburnshad	featureburnt	burnmin	burnmax	sparktime	spreadchance	burnweapon	seqnamedie	featuredead	flamable	reclaimable	featurereclamamate	reproduce	reproducearea	blocking	geothermal	object	autoreclaimable	featurereclamate	nodisplayinfo	permanent
Moon\ROCKS.MoonRock03	MOON	Rock	rocks	0	1	1	3	moonrocks	rock03	rock03shad	0	1	100	25	2000		rock03rec											moonrock03scar		1				1				moonrock03scar		
Moon\ROCKS.MoonRock03Scar	MOON	Damaged Terrain	scars	0	1	1	0	moonscars	rock03scar		0	1	100		20000													moonrock03scar						0						
Moon\ROCKS.MoonRock04	MOON	Rock	rocks	0	1	1	2	moonrocks	rock04	rock04shad	0	1	100	25	2000		rock04rec											moonrock04scar		1				1				moonrock04scar		
Moon\ROCKS.MoonRock04Scar	MOON	Damaged Terrain	scars	0	1	1	0	moonscars	rock04scar		0	1	100		20000													moonrock04scar						0						
Moon\ROCKS.MoonRock05	MOON	Rock	rocks	0	1	1	1	moonrocks	rock05	rock05shad	0	1	100	25	2000		rock05rec											moonrock05scar		1				1				moonrock05scar		
Moon\ROCKS.MoonRock05Scar	MOON	Damaged Terrain	scars	0	1	1	0	moonscars	rock05scar		0	1	100		20000													moonrock05scar						0						
Moon\ROCKS.MoonRock06	MOON	Rock	rocks	0	3	1	3	moonrocks	rock06	rock06shad	0	1	100	25	2000		rock06rec											moonrock06scar		1				1				moonrock06scar		
Moon\ROCKS.MoonRock06Scar	MOON	Damaged Terrain	scars	0	3	1	0	moonscars	rock06scar		0	1	100		20000													moonrock06scar						0						
Moon\ROCKS.MoonRock07	MOON	Rock	rocks	0	3	2	4	moonrocks	rock07	rock07shad	0	1	100	25	2000		rock07rec										rockboom	moonrock07scar		1				1				moonrock07scar		
Moon\ROCKS.MoonRock07Scar	MOON	Damaged Terrain	scars	0	3	2	0	moonscars	rock07scar		0	1	100		20000													moonrock07scar						0						
Moon\ROCKS.MoonRock08	MOON	Rock	rocks	0	3	3	4	moonrocks	rock08	rock08shad	0	1	100	50	2000		rock08rec										rockboom	moonrock08scar		1				1				moonrock08scar		
Moon\ROCKS.MoonRock08Scar	MOON	Damaged Terrain	scars	0	3	3	0	moonscars	rock08scar		0	1	100		20000													moonrock08scar						0						
Moon\ROCKS.MoonRock09	MOON	Rock	rocks	0	3	3	4	moonrocks	rock09	rock09shad	0	1	100	50	2000		rock09rec										rockboom	moonrock09scar		1				1				moonrock09scar		
Moon\ROCKS.MoonRock09Scar	MOON	Damaged Terrain	scars	0	3	3	0	moonscars	rock09scar		0	1	100		20000													moonrock09scar						0						
Moon\ROCKS.MoonRock10	MOON	Rock	rocks	0	3	4	5	moonrocks	rock10	rock10shad	0	1	100	50	2000		rock10rec										rock10boom	mooncrush10		1				1				moonrock10scar		
Moon\ROCKS.MoonRock10Scar	MOON	Damaged Terrain	scars	0	3	4	0	moonscars	rock10scar		0	1	100		20000													moonrock10scar						0						
Moon\ROCKS.MoonRock11	MOON	Rock	rocks	0	5	4	5	moonrocks	rock11	rock11shad	0	1	100	75	2000		rock11rec										rock11boom	mooncrush11		1				1				moonrock11scar		
Moon\ROCKS.MoonRock11Scar	MOON	Damaged Terrain	scars	0	5	4	0	moonscars	rock11scar		0	1	100		20000													moonrock11scar						0						
Moon\ROCKS.MoonRock12	MOON	Rock	rocks	0	4	4	2	moonrocks	rock12	rock12shad	0	1	100	75	2000		rock12rec										rock12boom	mooncrush12		1				1				moonrock12scar		
Moon\ROCKS.MoonRock12Scar	MOON	Damaged Terrain	scars	0	4	4	0	moonscars	rock12scar		0	1	100		20000													moonrock12scar						0						
Moon\ROCKS.MoonRock13	MOON	Rock	rocks	0	5	5	9	moonrocks	rock13	rock13shad	0	1	100	75	2000		rock13rec										rock13boom	mooncrush13		1				1				moonrock13scar		
Moon\ROCKS.MoonRock13Scar	MOON	Damaged Terrain	scars	0	5	5	0	moonscars	rock13scar		0	1	100		20000													moonrock13scar						0						
Moon\ROCKS.MoonRock14	MOON	Rock	rocks	0	4	4	6	moonrocks	rock14	rock14shad	0	1	100	75	2000		rock14rec										rock14boom	mooncrush14		1				1				moonrock14scar		
Moon\ROCKS.MoonRock14Scar	MOON	Damaged Terrain	scars	0	4	4	0	moonscars	rock14scar		0	1	100		20000													moonrock14scar						0						
Moon\ROCKS.MoonRock15	MOON	Rock	rocks	0	6	6	8	moonrocks	rock15	rock15shad	0	1	100	100	2000		rock15rec										rock15boom	mooncrush15		1				1				moonrock15scar		
Moon\ROCKS.MoonRock15Scar	MOON	Damaged Terrain	scars	0	6	6	0	moonscars	rock15scar		0	1	100		20000													moonrock15scar						0						
Moon\ROCKS.MoonRock16	MOON	Rock	rocks	0	4	4	8	moonrocks	rock16	rock16shad	0	1	100	75	2000		rock16rec										rock16boom	mooncrush16		1				1				moonrock16scar		
Moon\ROCKS.MoonRock16Scar	MOON	Damaged Terrain	scars	0	4	4	0	moonscars	rock16scar		0	1	100		20000													moonrock16scar						0						
Moon\ROCKS.MoonRock17	MOON	Rock	rocks	0	5	5	8	moonrocks	rock17	rock17shad	0	1	100	100	2000		rock17rec										rock17boom	mooncrush17		1				1				moonrock17scar		
Moon\ROCKS.MoonRock17Scar	MOON	Damaged Terrain	scars	0	5	5	0	moonscars	rock17scar		0	1	100		20000													moonrock17scar						0						
Moon\ROCKS.MoonRock18	MOON	Rock	rocks	0	9	9	12	moonrocks	rock18	rock18shad	0	1	100	250	2000		rock18rec										rock18boom	mooncrush18		1				1				moonrock18scar		
Moon\ROCKS.MoonRock18Scar	MOON	Damaged Terrain	scars	0	9	9	0	moonscars	rock18scar		0	1	100		20000													moonrock18scar						0						
Moon\ROCKS.MoonRock19	MOON	Rock	rocks	0	6	7	8	moonrocks	rock19	rock19shad	0	1	100	150	2000		rock19rec										rock19boom	mooncrush19		1				1				moonrock19scar		
Moon\ROCKS.MoonRock19Scar	MOON	Damaged Terrain	scars	0	6	7	0	moonscars	rock19scar		0	1	100		20000													moonrock19scar						0						
Moon\ROCKS.MoonCrushA	MOON	Rock	rocks	0	8	6	0	mooncrush	rockcrush01	rockcrush01shad	0	1	100	50	2000		rockcrush01rec										rockcrush01boom	mooncrushAscar		1				1				mooncrushAscar		
Moon\ROCKS.MoonCrushAScar	MOON	Damaged Terrain	scars	0	8	6	0	moonscars	rockcrush01scar		0	1	100		20000													mooncrushAscar						0						
Moon\ROCKS.MoonCrushB	MOON	Rock	rocks	0	5	5	0	mooncrush	rockcrush02	rockcrush02shad	0	1	100	50	2000		rockcrush02rec										rockcrush02boom	mooncrushBscar		1				1				mooncrushBscar		
Moon\ROCKS.MoonCrushBScar	MOON	Damaged Terrain	scars	0	5	5	0	moonscars	rockcrush02scar		0	1	100		20000													mooncrushBscar						0						
Moon\ROCKS.MoonCrushC	MOON	Rock	rocks	0	2	2	0	mooncrush	rockcrush03	rockcrush03shad	0	1	100	25	2000		rockcrush03rec											mooncrushCscar		1				1				mooncrushCscar		
Moon\ROCKS.MoonCrushCScar	MOON	Damaged Terrain	scars	0	8	6	0	moonscars	rockcrush03scar		0	1	100		20000													mooncrushCscar						0						
Moon\ROCKS.MoonCrush18	MOON	Rock	rocks	0	9	9	0	mooncrush	rockcrush01	rockcrush01shad	0	1	100	50	2000		rockcrush01rec										rockcrush01boom	mooncrush18scar		1				1				mooncrush18scar		
Moon\ROCKS.MoonCrush18Scar	MOON	Damaged Terrain	scars	0	9	9	0	moonscars	rockcrush01scar		0	1	100		20000													mooncrush18scar						0						
Moon\ROCKS.MoonCrush19	MOON	Rock	rocks	0	6	7	0	mooncrush	rockcrush01	rockcrush01shad	0	1	100	50	2000		rockcrush01rec										rockcrush01boom	mooncrush19scar		1				1				mooncrush19scar		
Moon\ROCKS.MoonCrush19Scar	MOON	Damaged Terrain	scars	0	6	7	0	moonscars	rockcrush01scar		0	1	100		20000													mooncrush19scar						0						
Moon\ROCKS.MoonCrush10	MOON	Rock	rocks	0	3	4	0	mooncrush	rockcrush02	rockcrush02shad	0	1	100	50	2000		rockcrush02rec										rockcrush02boom	mooncrush10scar		1				1				mooncrush10scar		
Moon\ROCKS.MoonCrush10Scar	MOON	Damaged Terrain	scars	0	3	4	0	moonscars	rockcrush02scar		0	1	100		20000													mooncrush10scar						0						
Moon\ROCKS.MoonCrush11	MOON	Rock	rocks	0	5	4	0	mooncrush	rockcrush02	rockcrush02shad	0	1	100	50	2000		rockcrush02rec										rockcrush02boom	mooncrush11scar		1				1				mooncrush11scar		
Moon\ROCKS.MoonCrush11Scar	MOON	Damaged Terrain	scars	0	5	4	0	moonscars	rockcrush02scar		0	1	100		20000													mooncrush11scar						0						
Moon\ROCKS.MoonCrush12	MOON	Rock	rocks	0	4	4	0	mooncrush	rockcrush02	rockcrush02shad	0	1	100	50	2000		rockcrush02rec										rockcrush02boom	mooncrush12scar		1				1				mooncrush12scar		
Moon\ROCKS.MoonCrush12Scar	MOON	Damaged Terrain	scars	0	4	4	0	moonscars	rockcrush02scar		0	1	100		20000													mooncrush12scar						0						
Moon\ROCKS.MoonCrush13	MOON	Rock	rocks	0	5	5	0	mooncrush	rockcrush02	rockcrush02shad	0	1	100	50	2000		rockcrush02rec										rockcrush02boom	mooncrush13scar		1				1				mooncrush13scar		
Moon\ROCKS.MoonCrush13Scar	MOON	Damaged Terrain	scars	0	5	5	0	moonscars	rockcrush02scar		0	1	100		20000													mooncrush13scar						0						
Moon\ROCKS.MoonCrush14	MOON	Rock	rocks	0	4	4	0	mooncrush	rockcrush02	rockcrush02shad	0	1	100	50	2000		rockcrush02rec										rockcrush02boom	mooncrush14scar		1				1				mooncrush14scar		
Moon\ROCKS.MoonCrush14Scar	MOON	Damaged Terrain	scars	0	4	4	0	moonscars	rockcrush02scar		0	1	100		20000													mooncrush14scar						0						
Moon\ROCKS.MoonCrush15	MOON	Rock	rocks	0	6	6	0	mooncrush	rockcrush02	rockcrush02shad	0	1	100	50	2000		rockcrush02rec										rockcrush02boom	mooncrush15scar		1				1				mooncrush15scar		
Moon\ROCKS.MoonCrush15Scar	MOON	Damaged Terrain	scars	0	6	6	0	moonscars	rockcrush02scar		0	1	100		20000													mooncrush15scar						0						
Moon\ROCKS.MoonCrush16	MOON	Rock	rocks	0	4	4	0	mooncrush	rockcrush02	rockcrush02shad	0	1	100	50	2000		rockcrush02rec										rockcrush02boom	mooncrush16scar		1				1				mooncrush16scar		
Moon\ROCKS.MoonCrush16Scar	MOON	Damaged Terrain	scars	0	4	4	0	moonscars	rockcrush02scar		0	1	100		20000													mooncrush16scar						0						
Moon\ROCKS.MoonCrush17	MOON	Rock	rocks	0	5	5	0	mooncrush	rockcrush02	rockcrush02shad	0	1	100	50	2000		rockcrush02rec										rockcrush02boom	mooncrush17scar		1				1				mooncrush17scar		
Moon\ROCKS.MoonCrush17Scar	MOON	Damaged Terrain	scars	0	5	5	0	moonscars	rockcrush02scar		0	1	100		20000													mooncrush17scar						0						
Slate\METAL.SlateMetal1	slate	Metal	metal	0	3	3	0	slateveins	slatevein03		0	1	5	165	32009	1																								
Slate\METAL.SlateMetal2	slate	Metal	metal	0	3	3	0	slateveins	slatevein02		0	1	5	174	32009	1																								
Slate\METAL.SlateMetal3	slate	Metal	metal	0	3	3	0	slateveins	slatevein03		0	1	5	173	32009	1																								
Slate\METAL.SlateMetal4	slate	Metal	metal	0	3	3	0	slateveins	slatevein05		0	1	5	250	32009	1																								
Slate\METAL.SlateMetal5	slate	Metal	metal	0	3	3	0	slateveins	slatevein09		0	1	5	194	32009	1																								
Slate\METAL.SlateMetal6	slate	Metal	metal	0	6	3	0	slateveins	slatevein06		0	1	5	241	32009	1																								
Slate\METAL.SlateMetal7	slate	Metal	metal	0	3	3	0	slateveins	slatevein07		0	1	5	154	32009	1																								
Slate\METAL.SlateMetal8	slate	Metal	metal	0	3	3	0	slateveins	slatevein04		0	1	5	195	32009	1																								
Slate\METAL.SlateMetal9	slate	Metal	metal	0	3	3	0	slateveins	slatevein08		0	1	5	210	32009	1																								
Slate\METAL.SlateMetal10	slate	Metal	metal	0	3	3	0	slateveins	slatevein11		0	1	5	197	32009	1																								
Slate\METAL.SlateMetal11	slate	Metal	metal	0	3	3	0	slateveins	slatevein16		0	1	5	185	32009	1																								
Slate\METAL.SlateMetal12	slate	Metal	metal	0	3	3	0	slateveins	slatevein14		0	1	5	168	32009	1																								
Slate\METAL.SlateMetal13	slate	Metal	metal	0	6	3	0	slateveins	slatevein10		0	1	5	230	32009	1																								
Slate\METAL.SlateMetal14	slate	Metal	metal	0	3	3	0	slateveins	slatevein15		0	1	5	176	32009	1																								
Slate\METAL.SlateMetal15	slate	Metal	metal	0	3	3	0	slateveins	slatevein13		0	1	5	182	32009	1																								
Slate\METAL.SlateMetal16	slate	Metal	metal	0	3	3	0	slateveins	slatevein12		0	1	5	198	32009	1																								
Slate\ROCKS1.SlateRock01	Slate	Rock	rocks	0	1	1	18	slaterocks1	sl-rock01	sl-rock01shad	0	1	100	40	2000		sl-rock01rec											sl-rockscar1		1				1				sl-rocksmudge1		
Slate\ROCKS1.SlateRock02	Slate	Rock	rocks	0	1	1	17	slaterocks1	sl-rock02	sl-rock02shad	0	1	100	42	2000		sl-rock02rec											sl-rockscar1		1				1				sl-rocksmudge1		
Slate\ROCKS1.SlateRock03	Slate	Rock	rocks	0	2	2	26	slaterocks1	sl-rock03	sl-rock03shad	0	1	100	55	2000		sl-rock03rec											SlateCrushed03		1				1				sl-rocksmudge3		
Slate\ROCKS1.SlateRock04	Slate	Rock	rocks	0	2	2	25	slaterocks1	sl-rock04	sl-rock04shad	0	1	100	60	2000		sl-rock04rec											SlateCrushed04		1				1				sl-rocksmudge4		
Slate\ROCKS1.SlateRock05	Slate	Rock	rocks	0	3	3	50	slaterocks1	sl-rock05	sl-rock05shad	0	1	100	106	2000		sl-rock05rec											SlateCrushed05		1				1				sl-rocksmudge5		
Slate\ROCKS1.SlateCrushed03	Slate	Rock	rocks	0	2	2	18	slaterocks1	sl-crush03	sl-crush03shad	0	1	100	20	2000		sl-crush03rec											sl-rockscar3		1				1				sl-rocksmudge3		
Slate\ROCKS1.SlateCrushed04	Slate	Rock	rocks	0	2	2	15	slaterocks1	sl-crush04	sl-crush04shad	0	1	100	55	2000		sl-crush04rec											sl-rockscar4		1				1				sl-rocksmudge4		
Slate\ROCKS1.SlateCrushed05	Slate	Rock	rocks	0	3	3	25	slaterocks1	sl-crush05	sl-crush05shad	0	1	100	20	2000		sl-crush05rec											slatecrushed205		1				1				sl-rocksmudge5		
Slate\ROCKS1.SlateCrushed205	Slate	Rock	rocks	0	3	3	11	slaterocks1	sl-crush205	sl-crush205shad	0	1	100	15	2000		sl-crush205rec											sl-rockscar5		1				1				sl-rocksmudge5		
Slate\ROCKS1.Sl-RockScar1	Slate	Damaged Terrain	scars	0	1	1	0	slaterocks1	sl-rockscar1		0	1	100		20000													sl-rockscar1						0						
Slate\ROCKS1.Sl-RockScar2	Slate	Damaged Terrain	scars	0	1	1	0	slaterocks1	sl-rockscar2		0	1	100		20000													sl-rockscar2						0						
Slate\ROCKS1.Sl-RockScar3	Slate	Damaged Terrain	scars	0	2	2	0	slaterocks1	sl-rockscar3		0	1	100		20000													sl-rockscar3						0						
Slate\ROCKS1.Sl-RockScar4	Slate	Damaged Terrain	scars	0	2	2	0	slaterocks1	sl-rockscar4		0	1	100		20000													sl-rockscar4						0						
Slate\ROCKS1.Sl-RockScar5	Slate	Damaged Terrain	scars	0	3	3	0	slaterocks1	sl-rockscar5		0	1	100		20000													sl-rockscar5						0						
Slate\ROCKS1.Sl-RockSmudge1	Slate	Damaged Terrain	scars	0	1	1	0	slaterocks1	sl-rockscar1		1	1	100		20000													sl-rocksmudge1						0						
Slate\ROCKS1.Sl-RockSmudge2	Slate	Damaged Terrain	scars	0	1	1	0	slaterocks1	sl-rockscar2		1	1	100		20000													sl-rocksmudge2						0						
Slate\ROCKS1.Sl-RockSmudge3	Slate	Damaged Terrain	scars	0	2	2	0	slaterocks1	sl-rockscar3		1	1	100		20000													sl-rocksmudge3						0						
Slate\ROCKS1.Sl-RockSmudge4	Slate	Damaged Terrain	scars	0	2	2	0	slaterocks1	sl-rockscar4		1	1	100		20000													sl-rocksmudge4						0						
Slate\ROCKS1.Sl-RockSmudge5	Slate	Damaged Terrain	scars	0	3	3	0	slaterocks1	sl-rockscar5		1	1	100		20000													sl-rocksmudge5						0						
Slate\ROCKS2.SlateRock06	slate	Rock	rocks	0	3	3	60	slaterocks2	sl-rock06	sl-rock06shad	0	1	100	110	2000		sl-rock06rec											slatecrushed06		1				1				sl-rocksmudge6		
Slate\ROCKS2.SlateRock07	slate	Rock	rocks	0	4	4	62	slaterocks2	sl-rock07	sl-rock07shad	0	1	100	175	2000		sl-rock07rec											slatecrushed07		1				1				sl-rocksmudge7		
Slate\ROCKS2.SlateRock08	slate	Rock	rocks	0	5	5	88	slaterocks2	sl-rock08	sl-rock08shad	0	1	100	240	2000		sl-rock08rec											slatecrushed08		1				1				sl-rocksmudge8		
Slate\ROCKS2.SlateRock09	slate	Rock	rocks	0	5	5	70	slaterocks2	sl-rock09	sl-rock09shad	0	1	100	249	2000		sl-rock09rec											slatecrushed09		1				1				sl-rocksmudge9		
Slate\ROCKS2.SlateCrushed06	slate	Rock	rocks	0	3	3	26	slaterocks2	sl-crush06	sl-crush06shad	0	1	100	40	2000		sl-crush06rec											slatecrushed206		1				1				sl-rocksmudge6		
Slate\ROCKS2.SlateCrushed07	slate	Rock	rocks	0	4	4	29	slaterocks2	sl-crush07	sl-crush07shad	0	1	100	60	2000		sl-crush07rec											slatecrushed207		1				1				sl-rocksmudge7		
Slate\ROCKS2.SlateCrushed08	slate	Rock	rocks	0	5	5	42	slaterocks2	sl-crush08	sl-crush08shad	0	1	100	65	2000		sl-crush08rec											slatecrushed208		1				1				sl-rocksmudge8		
Slate\ROCKS2.SlateCrushed09	slate	Rock	rocks	0	5	5	31	slaterocks2	sl-crush09	sl-crush09shad	0	1	100	85	2000		sl-crush09rec											slatecrushed209		1				1				sl-rocksmudge9		
Slate\ROCKS2.SlateCrushed206	slate	Rock	rocks	0	3	3	6	slaterocks2	sl-crush206	sl-crush206shad	0	1	100	25	2000		sl-crush206rec											sl-rockscar6		1				1				sl-rocksmudge6		
Slate\ROCKS2.SlateCrushed207	slate	Rock	rocks	0	4	4	8	slaterocks2	sl-crush207	sl-crush207shad	0	1	100	50	2000		sl-crush207rec											sl-rockscar7		1				1				sl-rocksmudge7		
Slate\ROCKS2.SlateCrushed208	slate	Rock	rocks	0	5	5	11	slaterocks2	sl-crush208	sl-crush208shad	0	1	100	50	2000		sl-crush208rec											sl-rockscar8		1				1				sl-rocksmudge8		
Slate\ROCKS2.SlateCrushed209	slate	Rock	rocks	0	5	5	9	slaterocks2	sl-crush209	sl-crush209shad	0	1	100	75	2000		sl-crush209rec											sl-rockscar9		1				1				sl-rocksmudge9		
Slate\ROCKS2.Sl-RockScar6	slate	Damaged Terrain	scars	0	3	3	0	slaterocks2	sl-rockscar6		0	1	100		20000													sl-rockscar6						0						
Slate\ROCKS2.Sl-RockScar7	slate	Damaged Terrain	scars	0	4	4	0	slaterocks2	sl-rockscar7		0	1	100		20000													sl-rockscar7						0						
Slate\ROCKS2.Sl-RockScar8	slate	Damaged Terrain	scars	0	5	5	0	slaterocks2	sl-rockscar8		0	1	100		20000													sl-rockscar8						0						
Slate\ROCKS2.Sl-RockScar9	slate	Damaged Terrain	scars	0	5	5	0	slaterocks2	sl-rockscar9		0	1	100		20000													sl-rockscar9						0						
Slate\ROCKS2.Sl-RockSmudge6	slate	Damaged Terrain	scars	0	3	3	0	slaterocks2	sl-rockscar6		1	1	100		20000													sl-rocksmudge6						0						
Slate\ROCKS2.Sl-RockSmudge7	slate	Damaged Terrain	scars	0	4	4	0	slaterocks2	sl-rockscar7		1	1	100		20000													sl-rocksmudge7						0						
Slate\ROCKS2.Sl-RockSmudge8	slate	Damaged Terrain	scars	0	5	5	0	slaterocks2	sl-rockscar8		1	1	100		20000													sl-rocksmudge8						0						
Slate\ROCKS2.Sl-RockSmudge9	slate	Damaged Terrain	scars	0	5	5	0	slaterocks2	sl-rockscar9		1	1	100		20000													sl-rocksmudge9						0						
Slate\SPIRES.SlateStrata01	slate	Spire	spires	0	8	3	94	slatestrata	sl-strata01	sl-strata01shad	0	1	100		2000	1																		1					1	1
Slate\SPIRES.SlateStrata02	slate	Spire	spires	0	9	7	220	slatestrata	sl-strata02	sl-strata02shad	0	1	100		2000	1																		1					1	1
Slate\SPIRES.SlateStrata03	slate	Spire	spires	0	11	7	350	slatestrata	sl-strata03	sl-strata03shad	0	1	100		2000	1																		1					1	1
Slate\SPIRES.SlateStrata04	slate	Spire	spires	0	9	5	300	slatestrata	sl-strata04	sl-strata04shad	0	1	100		2000	1																		1					1	1
Slate\SPIRES.SlateStrata05	slate	Spire	spires	0	8	7	200	slatestrata	sl-strata05	sl-strata05shad	0	1	100		2000	1																		1					1	1
Slate\SPIRES.SlateStrata06	slate	Spire	spires	0	5	6	160	slatestrata	sl-strata06	sl-strata06shad	0	1	100		2000	1																		1					1	1
Slate\SPIRES.SlateStrata07	slate	Spire	spires	0	7	4	80	slatestrata	sl-strata07	sl-strata07shad	0	1	100		2000	1																		1					1	1
Slate\SPIRES.FogStrata01	slate	Spire	spires	0	7	5	360	slatestrata	sl-fogstrata01		0	1	100		2000	1																		1					1	1
Slate\SPIRES.FogStrata02	slate	Spire	spires	0	4	4	310	slatestrata	sl-fogstrata02		0	1	100		2000	1																		1					1	1
Slate\SPIRES.FogStrata03	slate	Spire	spires	0	7	14	460	slatestrata	sl-fogstrata03		0	1	100		2000	1																		1					1	1
Slate\SPIRES.FogStrata04	slate	Spire	spires	0	5	13	440	slatestrata	sl-fogstrata04		0	1	100		2000	1																		1					1	1
Slate\SPIRES.FogStrata05	slate	Spire	spires	0	6	4	260	slatestrata	sl-fogstrata05		0	1	100		2000	1																		1					1	1
Slate\SPIRES.FogStrata06	slate	Spire	spires	0	10	8	110	slatestrata	sl-fogstrata06		0	1	100		2000	1																		1					1	1
Slate\SPIRES.FogStrata07	slate	Spire	spires	0	8	3	140	slatestrata	sl-fogstrata07		0	1	100		2000	1																		1					1	1
Slate\SPIRES.FogStrata08	slate	Spire	spires	0	12	11	160	slatestrata	sl-fogstrata08		0	1	100		2000	1																		1					1	1
Slate\SPIRES.FogStrata09	slate	Spire	spires	0	7	9	160	slatestrata	sl-fogstrata09		0	1	100		2000	1																		1					1	1
Slate\SPIRES.FogStrata10	slate	Spire	spires	0	11	8	400	slatestrata	sl-fogstrata10		0	1	100		2000	1																		1					1	1
Slate\SPIRES.FogStrata11	slate	Spire	spires	0	4	2	160	slatestrata	sl-fogstrata11		0	1	100		2000	1																		1					1	1
Slate\VENTS.SlateVent01	slate	Thermal Vent	steamvents	1	3	3	0	slatevents	slatevent1				0			1																			1					
Slate\VENTS.SlateVent02	slate	Thermal Vent	steamvents	1	3	3	0	slatevents	slatevent2				0			1																			1					
Slate\VENTS.SlateVent03	slate	Thermal Vent	steamvents	1	3	3	0	slatevents	slatevent3				0			1																			1					
Urban\BARRIERS.Barrier01	urban	barrier	barriers	0	1	2	20	barriers	barrier01		0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier02	urban	barrier	barriers	0	1	2	20	barriers	barrier02		0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier03	urban	barrier	barriers	0	1	4	20	barriers	barrier03		0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier04	urban	barrier	barriers	0	1	5	80	barriers	barrier04		0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier05	urban	barrier	barriers	0	1	2	20	barriers	barrier05		0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier06	urban	barrier	barriers	0	2	1	20	barriers	barrier06	barriershad06	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier07	urban	barrier	barriers	0	2	1	20	barriers	barrier07	barriershad07	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier08	urban	barrier	barriers	0	4	1	20	barriers	barrier08	barriershad08	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier09	urban	barrier	barriers	0	5	1	20	barriers	barrier09	barriershad09	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier10	urban	barrier	barriers	0	5	1	20	barriers	barrier10	barriershad10	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier11	urban	barrier	barriers	0	2	1	20	barriers	barrier11		0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier12	urban	barrier	barriers	0	3	2	20	barriers	barrier12	barriershad12	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier13	urban	barrier	barriers	0	3	2	20	barriers	barrier13	barriershad1	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier14	urban	barrier	barriers	0	3	2	20	barriers	barrier14	barriershad14	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier15	urban	barrier	barriers	0	3	2	20	barriers	barrier15	barriershad15	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier16	urban	barrier	barriers	0	4	4	20	barriers	barrier16	barriershad16	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier17	urban	barrier	barriers	0	4	4	20	barriers	barrier17		0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier18	urban	barrier	barriers	0	4	4	20	barriers	barrier18	barriershad18	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier19	urban	barrier	barriers	0	4	4	20	barriers	barrier19	barriershad19	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier20	urban	barrier	barriers	0	2	2	20	barriers	barrier20	barriershad20	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier21	urban	barrier	barriers	0	2	2	20	barriers	barrier21	barriershad21	0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier22	urban	barrier	barriers	0	2	2	20	barriers	barrier22		0	1	100		2000	1																		1					1	1
Urban\BARRIERS.Barrier23	urban	barrier	barriers	0	2	2	20	barriers	barrier23	barriershad23	0	1	100		2000	1																		1					1	1
Urban\buildings_b.Building01	urban	Building	buildings	0	11	10	460	ur-buildings1	ur-building01	u-buildshad01	0	1	100	10400	3000		u-buildrec01										ur-boom01	Building01b	0	1		0	6	1				Buildingscar01		
Urban\buildings_b.Building01b	urban	Building	buildings	0	11	10	400	ur-buildings1	u-buildwreck01	u-wreckshad01	0	1	100	8000	1500		u-wreckrec01										ur-boom01b	Building01c	0	1		0	6	1				Buildingscar01		
Urban\buildings_b.Building01c	urban	Building	buildings	0	11	10	100	ur-buildings1	u-gird01	u-girdshad01	0	1	100	4000	1000		u-girdrec01										ur-boom01c	Buildingscar01	0	1		0	6	1				Buildingscar01		
Urban\buildings_b.Building02	urban	Willy Gates Bldg	buildings	0	9	11	200	ur-buildings1	ur-building02	u-buildshad02	0	1	100	6000	2000		u-buildrec02										ur-boom02	Building02b	0	1		0	6	1				Buildingscar02		
Urban\buildings_b.Building02b	urban	Willy Gates Bldg	buildings	0	9	11	175	ur-buildings1	u-buildwreck02	u-wreckshad02	0	1	100	4000	1500		u-wreckrec02										ur-boom02b	Building02c	0	1		0	6	1				Buildingscar02		
Urban\buildings_b.Building02c	urban	Willy Gates Bldg	buildings	0	9	11	385	ur-buildings1	u-gird02	u-girdshad02	0	1	100	3000	1000		u-girdrec02										ur-boom02c	Buildingscar02	0	1		0	6	1				Buildingscar02		
