	UnitName	Version	Side	Objectname	Designation	Name	Description	FootprintX	FootprintZ	BuildCostEnergy	BuildCostMetal	MaxDamage	MaxWaterDepth	MaxSlope	EnergyUse	BuildTime	WorkerTime	BMcode	Builder	ThreeD	ZBuffer	NoAutoFire	SightDistance	RadarDistance	SoundCategory	EnergyStorage	MetalStorage	ExplodeAs	SelfDestructAs	Category	TEDClass	Copyright	YardMap	Corpse	GermanName	GermanDescription	UnitNumber	FrenchName	Frenchdescription	firestandorders	StandingFireOrder	mobilestandorders	StandingMoveOrder	canmove	canpatrol	canstop	SpanishName	SpanishDescription	ItalianName	ItalianDescription	Ovradjust	canguard	MaxVelocity	BrakeRate	Acceleration	TurnRate	SteeringMode	ShootMe	Canfly	cruisealt	Scale	BankScale	Builddistance	CanReclamate	EnergyMake	MetalMake	DefaultMissionType	maneuverleashlength	MovementClass	Upright	standingmoveorder	buildangle	canattack	Weapon1	downloadable	wpri_badTargetCategory	BadTargetCategory	digger	DamageModifier	antiweapons	ActivateWhenBuilt	onoffable	RadarDistanceJam	sortbias	IsAirBase	MinWaterDepth	WaterLine	NoShadow	TransMaxUnits	canload	transportsize	transportcapacity	ai_limit	altfromsealevel	NoChaseCategory	Weapon2	wsec_badTargetCategory	Floater	HoverAttack	CloakCost	SonarDistance	Weapon3	candgun	CloakCostMoving	HealTime	CanCapture	HideDamage	ImmuneToParalyzer	norestrict	Commander	ShowPlayerName	mincloakdistance	IsFeature	PigLatinName	JapaneseName	PigLatinDescription	MoveRate1	maxwaterdepth	ai_weight	noshadow	Waterline	Buildangle	MakesMetal	teleporter	Stealth	Spanishdescription	Italiandescription	ExtractsMetal	attackrunlength	TidalGenerator	kamikaze	kamikazedistance	Downloadable	WindGenerator	MobileStandOrders	weapon1	BuildAngle	OVRadjust	waterline	upright	ovradjust	cantbetransported	transportmaxunits	PitchScale	MoveRate2
CORCA.UNITINFO	CORCA	1	CORE	CORCA	CVA-8	Construction Aircraft	Tech Level 1	3	3	4580	110	290	0	10	0.1	9286	50	1	1	1	1	0	270	0	CORE_CVTOL	50	50	BIG_UNITEX	BIG_UNIT	CORE VTOL CTRL_V LEVEL1 CONSTR NOWEAPON NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.			Konstr.-Flugzeug	Tech Level 1	90	Avion de construction 	Niveau Tech 1			1	1	1	1	1	Aeronave de Constr. 	Nivel Tecn. 1	Aereo Costruttore	Tecnologia Livello 1	1	1	6.7	1.7	0.05	96	1	1	1	75	0.8	1.5	40	1	10	0.2	VTOL_Standby	1280																																																																													
CORCAN.UNITINFO	CORCAN	1	CORE	CORCAN	KA-L8	The Can	Armored Assault Kbot	2	2	3500	420	2800	21	14	0.8	7500	0	1	0	1	1	0	200	0	COR_KBOT	0	0	BIG_UNITEX	BIG_UNIT	CORE KBOT LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		corcan_dead	The Can	Gepanzerter Gefechts-Kbot	91	Blindax	Kbot d'assaut blindé	1	2	1	1	1	1	1	The Can	Kbot de artillería pesada	The Can	Kbot armato d'assalto	1	1	0.5	0.15	0.1	940	2	1							0.8		Standby	640	TANKSH2	1			1	CORE_CANLASER		VTOL	VTOL																		VTOL																																																		
CORCARRY.UNITINFO	CORCARRY	1	CORE	CORCARRY	SB-3-VT	Hive	Light Carrier	6	6	11715	1379	3500			45	25271	200	1	1	1	1	0	350	1780	CORE_SHIP	0	0	CRAWL_BLAST	CRAWL_BLAST	CORE SHIP LEVEL1 CARRY NOWEAPON NOTAIR NOTSUB	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		corcarry_dead	Hive	Leichter Flugzeugträger	92	Ruche	Porte-avions léger			1	1	1	1	1	Hive	Transporte ligero	Hive	Portaerei leggera	1	1	2.2	0.02	0.01	64	1	1							380		Standby	640	BOATD6			16384									1	1			1	30												1																																															
CORCK.UNITINFO	CORCK	1	CORE	CORCK	CKA-23	Construction Kbot	Tech Level 1	2	2	2540	130	710	25	20	0.2	5818	80	1	1	1	1	0	230	0	COR_CKBOT	50	50	BIG_UNITEX	BIG_UNIT	CORE KBOT LEVEL1 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.		corck_dead	Konstruktions-Kbot	Tech Level 1	93	Kbot de construction	Niveau Tech 1			1	1	1	1	1	Kbot de Constr. 	Nivel Tecn. 1	Kbot Costruttore	Tecnologia Livello 1	1	1	0.9	0.2	0.107	965	1	1					40	1	8.5	0.25	Standby	640	TANKSH2	1																																																																											
CORCOM.UNITINFO	CORCOM	1	CORE	CORCOM	CX-D3	Commander	Commander	2	2	35838	23512	3000	35	20	1	97852	300	1	1	1	1		290	400	CORE_COM			COMMANDER_BLAST	COMMANDER_BLAST	CORE commander LEVEL10 WEAPON NOTAIR NOTSUB CTRL_C	COMMANDER	Copyright 1997 Humongous Entertainment. All rights reserved.			Commander	Commander	94	Commandeur	Commandant	1	2	1	0	1	1	1	Comandante	Comandante	Comandante	Comandante	1	1	1.07	0.32	0.16	1030	2	1					60	1	25	1	Standby	640	TANKDS2	1			1	CORCOMLASER		VTOL	VTOL				1														VTOL					200	400	CORE_DISINTEGRATOR	1	1000	27	1	1	1	1	1	1	40																																	
CORCRASH.UNITINFO	CORCRASH	1	CORE	CORCRASH	KA-M12	Crasher	Missile Kbot	2	2	1224	129	480	12	14	0.6	2636	0	1	0	1	1	0	292	0	COR_KBOT	0	0	BIG_UNITEX	BIG_UNIT	CORE KBOT LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		corcrash_dead	Crasher	Raketen-Kbot	95	Ecraseur	Kbot lance-missiles	1	2	1	1	1	1	1	Crasher	Kbot antiaéreo	Crasher	Kbot lanciamissili	1	1	1.25	0.15	0.1	1011	2	1							0.6		Standby	640	TANKSH2	1			1	CORKBOT_MISSILE		NOTAIR	NOTAIR																																																																				
CORCRUS.UNITINFO	CORCRUS	1	CORE	CORCRUS	ASD-SC	Executioner	Cruiser	5	5	8551	1724	4170			2.2	17050	0	1	0	1	1	0	210	0	CORE_SHIP	0	0	SMALL_UNITEX	SMALL_UNIT	CORE SHIP LEVEL2 WEAPON ANTISUB NOTAIR NOTSUB CTRL_W	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		corcrus_dead	Executioner	Schwerer Kreuzer	96	Exécuteur	Croiseur	1	2	1	1	1	1	1	Executioner	Crucero	Executioner	Incrociatore	1	1	2.4	0.05	0.01	128	1	1			0.5				2.2		Standby	640	BOATS5			16384	1	COR_CRUS		VTOL	VTOL				1					30									VTOL	COREDEPTHCHARGE	NOTSUB	1			420																																												
CORCS.UNITINFO	CORCS	1	CORE	CORCS	COR-CS1	Construction Ship	Tech Level 1	4	4	2375	260	1150			0.1	5537	125	1	1	1	1	0	220	0	CORE_CSHIP	50	50	SMALL_UNITEX	SMALL_UNIT	CORE SHIP LEVEL1 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.		corcs_dead	Konstruktions-Schiff	Tech Level 1	97	Navire de construction	Niveau Tech 1			1	1	1	1	1	Buque de Constr.	Nivel Tecn. 1	Nave Costruttrice	Tecnologia Livello 1	1	1	2.1	0.042	0.008	205	1	1					60	1	7	0.3	Standby	640	BOATS4																	30												1			0																																												
CORCV.UNITINFO	CORCV	1	CORE	CORCV	CMA-17	Construction Vehicle	Tech Level 1	3	3	2145	175	825	19	16	0.2	5146	100	1	1	1	1	0	200	0	CORE_CVEHICLE	50	50	BIG_UNITEX	BIG_UNIT	CORE TANK LEVEL1 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		corcv_dead	Konstr.-Fahrzeug	Tech Level 1	98	Véhicule de construction	Niveau Tech 1			1	1	1	1	1	Vehículo de Constr.	Nivel Tecn. 1	Veicolo Costruttore	Tecnologia Livello 1	1	1	1.3	0.085	0.011	207	1	1					40	1	9.2	0.25	Standby	640	TANKSH3																																																																												
CORDOOM.UNITINFO	CORDOOM	1	CORE	CORDOOM	COR-ANN1	Doomsday Machine	Energy Weapon	3	3	14245	2140	3140	0	10	0	39276	0	0	0	1	1	1	380	0	COR_DOOM	0	0	ATOMIC_BLAST	CRAWL_BLASTSML	CORE SPECIAL WEAPON LEVEL3 NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	cordoom_dead	Doomsday Machine	Hochenergiewaffe / Energiegeschosse	99	Apocalypsus	Tire des charges d'énergie	1	2					1	Doomsday Machine	Máquina del Juicio Final	Doomsday Machine	Arma a energia	1							1														4096	1	CORE_DOOMSDAY					0.5																	CORE_LIGHTLASER	NOTAIR					CORE_LASERH1																																											
CORDRAG.UNITINFO	CORDRAG	1	CORE	CORDRAG	A-102-C	Dragon's Teeth	Perimeter Defense	2	2	300	11	3600	0	32	0	565	0	0	0	1	1	0	100	0	NONE	0	0			CORE METAL LEVEL2 NOWEAPON NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	f	DragonsTeeth_core	Panzersperre	Palisadenanlage	100	Dent de dragon	Périmètre de défense								Dragon's Teeth	Defensa de perímetro	Denti del Drago	Difesa perimetrale	1														0							8192																																									1																																
CORESTOR.UNITINFO	CORESTOR	1	CORE	CORESTOR	ES-22	Energy Storage	Increases Energy Storage	4	4	2490	250	1070	0	10	0	12750	0	0	0	1	1	0	210	0	CORE_ESTOR	3000	0	ESTOR_BUILDINGEX	ESTOR_BUILDING	CORE ENERGY LEVEL1 NOWEAPON  NOTAIR NOTSUB STORAGE	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooooooooooo	corestor_dead	Energiespeicher	Vergrößert Lager für Energievorräte	101	Dépôt d'énergie	Augmente le stockage d'énergie								Almacén de Energía	Incrementa capacidad de alm.energía	Deposito di Energia	Incrementa l'immagazzinamento di energia	1																					8196									1																																																																
CORETER.UNITINFO	CORETER	1	CORE	CORETER	MB-2-S	Deleter	Mobile Radar Jammer	3	3	1757	100	520	0	16	14	6404	0	1	0	1	1	0	230		CORE_JAM	0	0	SMALL_UNITEX	SMALL_UNIT	CORE TANK NOWEAPON JAM LEVEL2 NOTAIR NOTSUB CTRL_R	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		coreter_dead	Deleter	Mobiler Radarstörer	102	Perturbator	Brouilleur de radar mobile			1	1	1	1	1	Deleter	Distorsionador de radar	Deleter	Crea interferenze radar - mobile	1	1	1.05	0.014	0.031	512	1	1							14		Standby	640	TANKSH3												1	1	420																																																														
CORFAV.UNITINFO	CORFAV	1	CORE	CORFAV	MA-L8	Weasel	Scout	2	2	575	38	84	12	18	0.3	1515	0	1	0	1	0	0	310	0	CORE_VEHICLE	0	0	SMALL_UNITEX	SMALL_UNIT	CORE TANK LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		corfav_dead	Weasel	Aufklärer	103	Fouine	Reconnaissance	1	2	1	1	1	1	1	Weasel	Vehículo de reconocimiento	Weasel	Ricognitore	1	1	2.8	0.051	0.036	500	1	1							0.3		Standby	640	TANKSH2				1	CORE_LASER																																																																							
CORFHLT.UNITINFO	CORFHLT	1.2	CORE	CORFHLT	FF-ML4	Thunderbolt	Floating Heavy Laser Tower	3	3	5812	558	1385			0.1	12651	0	0	0	1	1	0	360	0	CORE_KBOT	200	0	BIG_UNITEX	BIG_UNIT	CORE SPECIAL LEVEL2 WEAPON NOTAIR NOTSUB 	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwwwwwwww	corfhlt_dead	Donnerschlag	Schwimmender schwerer Laser	188	Foudroyeur	Tourelle laser lourde flottante	1	2					1	Thunderbolt	Torre láser pesada flotante	Thunderbolt	Torretta Laser pesante galleggiante								1									GUARD_NOMOVE					16384	1	CORFHLT_LASER	1	NOTAIR	NOTAIR				1					5	3	1					limit CORFHLT 4																																																				
CORFINK.UNITINFO	CORFINK	1	CORE	CORFINK	VA-8-T	Fink	Air Scout	2	2	1369	36	90	0	10	0.2	2156	0	1	0	1	1	0	350	650	CORE_VTOL	0	0	SMALL_UNITEX	SMALL_UNIT	CORE VTOL CTRL_V LEVEL1 NOWEAPON NOTSUB 	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Fink	Aufklärer	105	Mouchard	Avion de reconnaissance		2	1	1	1	1	1	Fink	Aeronave de reconocimiento 	Fink	Ricognitore aereo	1	1	11	10	0.4	700	1	1	1	200		1			0.2		VTOL_standby	1280																																																																													
CORFLAK.UNITINFO	CORFLAK	1.2	CORE	CORFLAK	F-AA1	Cobra	Anti-Air Flak Gun	2	2	18995	1092	1655	0	10	0	40223	0	0	0	1	1	0	340	0	GUARD	0	0	LARGE_BUILDINGEX	MEDIUM_BUILDING	CORE LEVEL3 strategic weapon NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	corflak_dead	Cobra	Flak	161	Cobra	Canon antiaérien	1	2					1	Cobra	Arma de fuego antiaéreo	Cobra	Cannone per bersagli aerei								1									GUARD_NOMOVE					8192	1	CORFLAK_GUN	1	NOTAIR	NOTAIR																limit CORFLAK 8																										weight CORFLAK 6																										
CORFMD.UNITINFO	CORFMD	1	CORE	CORFMD	COR-FMD1	Fortitude Missile Defense	Anti Missile Defense System	4	4	92321	1508	780	0	10	0	96450	0	0	0	1	1	1	150	0	COR_FMD	0	0	ATOMIC_BLAST	CRAWL_BLASTSML	CORE SPECIAL WEAPON LEVEL3 NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armamd_dead	Flugkörper-Powerabwehr	Anti-Flugkörper Abwehrsystem	156	Défense Courage	Système de défense anti-missiles	1	2						Fortaleza Antimisiles	Sistema de defensa antimisiles	Difesa Missilistica Fortitude	Sistema di difesa anti-missilistico	1							1														4096		FMD_ROCKET		NOTAIR	NOTAIR		0.5	1																																																																	
CORFMKR.UNITINFO	CORFMKR	1.2	CORE	CORFMKR	FMR	Floating Metal Maker	Floating Metal Maker	3	3	1530		120	0	10	60	2682	0	0	0	1	1	0	210	0	CORE_MAKER	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	CORE METAL LEVEL2 NOWEAPON  NOTAIR NOTSUB 	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	w		Schwimmschmelze	Schwimmende Metallherstellung	170	Métallo flottant	Convertit l'énergie en métal								Productor de metal flotante	Productor de Metal flotante	Generatore di Metallo	Produttore di Metallo galleggiante																									1						1	1				11							limit CORFMKR 4																												22	8192	1																						
CORFORT.UNITINFO	CORFORT	1.2	CORE	CORFORT	ARM-MRJ	Fortification Wall	Perimeter Defense	2	2	612	23	1750	0	32	0	810	0	0	0	1	1	0	100	0	NONE	0	0			CORE METAL LEVEL2 NOWEAPON NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	f	fortification_core	Festungswerk	Befestigungswand	189	Mur de fortification	Périmètre de défense								Fortification		Fortificazioni																0							0			1																																						1													Périmètre de défense	Mura fortificate																		
CORFRT.UNITINFO	CORFRT	1.2	CORE	CORFRT	FF-R8	Stinger	Missile Tower - Naval Series	4	4	1054	72	290			0.1	2357	0	0	0	1	1	0	360	0	COR_KBOT	0	0	BIG_UNITEX	BIG_UNIT	CORE SPECIAL LEVEL2 WEAPON NOTAIR NOTSUB 	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwwwwwwww	corfrt_dead	Grenadier	Raketenturm - Marineeinheit	172	Pulverizer NAVY	Tourelle lance-missiles NAVY	1	2					1	Pulverizer-SN	Torre Lanzamisiles-Serie Naval	Grenatiere	Torretta missilistica - Sezione Navale								1									GUARD_NOMOVE					16384	1													2	4						limit CORFRT 6								0																			1													1			corfrt_missile									
CORFUS.UNITINFO	CORFUS	1	CORE	CORFUS	EF-5	Fusion Power Plant	Produces Energy	5	5	37865	5004	3000	1	10	0	94281	0	0	0	1	1	0	210	0	CORE_FUS	0	0	ATOMIC_BLAST	NUCLEAR_MISSILE	CORE ENERGY LEVEL3 NOWEAPON NOTAIR NOTSUB 	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooooooooooooooooooo	corfus_dead	Fusionreaktor	Liefert Energie	106	Réacteur nucléaire	Produit de l'énergie								Planta de Fusión	Produce energía	Generatore a Fusione	Produce energia	1														1050							16384									1																																																																
CORGATE.UNITINFO	CORGATE	1	CORE	CORGATE	COR-GG	Galactic Gate	Space Teleporter	4	4	1982431	197485	2469	0	10	3000	3421694	0	0	0	1	1	0	210	0	GATE	0	0	ATOMIC_BLAST	CRAWL_BLASTSML	CORE SPECIAL NOWEAPON NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	corgate_dead	Galaxistor	Weltraum-Teleporter	107	Porte galactique	Téléporteur spatial								Puerta Galáctica	Teletransportador espacial	Cancello Galattico	Teletrasporto spaziale	1																					2048																																					1															1																					
CORGATOR.UNITINFO	CORGATOR	1	CORE	CORGATOR	TA-PB4	Instigator	Assault Tank	2	2	887	110	653	12	10	0.5	1737	0	1	0	1	1	0	210	0	CORE_TANK	0	0	BIG_UNITEX	BIG_UNIT	CORE TANK LEVEL1 WEAPON NOTAIR  NOTSUB CTRL_W 	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		corgator_dead	Instigator	Gefechtspanzer	108	Agitator	Char d'assaut	1	2	1	1	1	1	1	Instigator	Tanque de asalto	Instigator	Carro armato d'assalto	1	1	1.9	0.009765625	0.02	475	1	1							0.5		Standby	640	TANKSH2				1	GATOR_LASER		VTOL	VTOL																		VTOL																																																		
CORGEO.UNITINFO	CORGEO	1	CORE	CORGEO	EG-9	Geothermal Powerplant	Produces Energy	4	4	9375	505	930	0	10	0	12875	0	0	0	1	1	0	210	0	CORE_GEO	0	0	LARGE_BUILDINGEX	NUCLEAR_MISSILE	CORE ENERGY LEVEL2 NOWEAPON NOTAIR NOTSUB 	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	GGGGGGGGGGGGGGGG	corgeo_dead	Geotherm. Kraftwerk	Liefert Energie	109	Centrale géothermique	Produit de l'énergie								Planta Geotérmica	Genera energía	Stabilimento Geotermico	Produce energia	1														250							4096									1																																																																
CORGOL.UNITINFO	CORGOL	1	CORE	CORGOL	PS20	Goliath	Very Heavy Assault Tank	3	3	3906	697	2845	12	16	0.5	7058	0	1	0	1	1	0	210	0	CORE_TANK	0	0	BIG_UNITEX	BIG_UNIT	CORE TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		corvroc_dead	Goliath	Überschwerer Gefechtspanzer	110	Goliath	Char d'assaut très lourd	1	2	1	1	1	1	1	Goliath	Tanque súper pesado	Goliath	Carro armato super-pesante da attacco	1	1	0.8	0.03	0.015	206	1	1							0.5		Standby	640	TANKSH3				1	COR_GOL		VTOL	VTOL																		VTOL																																																		
CORHLT.UNITINFO	CORHLT	1	CORE	CORHLT	F-ML21	Gaat Gun	Heavy Laser Tower	2	2	5443	589	1200	0	10	0	9622	0	0	0	1	1	0	350	0	HLT	200	0	MEDIUM_BUILDINGEX	MEDIUM_BUILDING	CORE defensive weapon level2 NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	corhlt_dead	Gaat Kanone	Schwerer Laserturm	111	Canon Gaat	Tour laser lourde	1	2					1	Gaat Gun	Torre láser pesada	Gaat	Torretta laser pesante	1							1									GUARD_NOMOVE					4096	1	CORE_LASERH1		VTOL	VTOL																																																																				
CORHRK.UNITINFO	CORHRK	1.2	CORE	CORHRK	KA-R3	Dominator	Heavy Rocket Kbot	2	2	2107	388	620	21	14	0.6	5191	0	1	0	1	1	0	285	0	COR_KBOT	0	0	BIG_UNITEX	BIG_UNIT	CORE KBOT LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		corhrk_dead	Dominator	Schwerer Raketen-Kbot	216	Tyrannor	Lanceur-roquette lourd	1	2	1	1	1	1	1	Dominator	Kbot Lanzacohetes pesado	Dominator	Kbot lanciarazzi pesante		1	1.25	0.15	0.091552734	1003	2	1							0.6		Standby	640	TANKSH2	1			1	CORHRK_ROCKET	1	VTOL	VTOL																		VTOL																																																		
CORHURC.UNITINFO	CORHURC	1	CORE	CORHURC	VA-B3	Hurricane	Strategic Bomber	3	3	8050	220	480	0	10	0.6	16269	0	1	0	1	1	0	350	0	CORE_VTOL	0	0	BIG_UNITEX	BIG_UNIT	CORE VTOL CTRL_V LEVEL2 WEAPON TORP  NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Hurricane	Strategischer Bomber	112	Ouragan	Bombardier stratégique	1	2	1	1	1	1	1	Hurricane	Bombardero estratégico	Hurricane	Bombardiere strategico	1	1	9.1	0.5	0.05	256	1	1	1	160					0.6		VTOL_standby	1280					1	CORADVBOMB																				1	UNDERWATER	CORAIR2AIRLASER	NOTAIR																																290																
CORINT.UNITINFO	CORINT	1	CORE	CORINT	F-PS2	Intimidator	Long Range Plasma Cannon	3	3	62520	4328	1900	0	10	0	93237	0	0	0	1	1	1	210	0	COR_INT	0	0	ATOMIC_BLAST	ATOMIC_BLAST	CORE LEVEL3 strategic weapon NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	corint_dead	Intimidator	Langstrecken-Plasmawerfer	113	Intimidator	Canon à plasma de longue portée	1	0					1	Intimidator	Cañón de plasma de largo alcance	Intimidator	Cannone al plasma a lungo raggio	1							1									GUARD_NOMOVE						1	CORE_INTIMIDATOR		VTOL																																																																					
CORLAB.UNITINFO	CORLAB	1	CORE	CORLAB	PAK	Kbot Lab	Produces Kbots	6	6	1250	680	2600	0	10	0	7000	100	0	1	1	1	0	221	0	KBOTPLANT	100	100	LARGE_BUILDINGEX	LARGE_BUILDING	CORE PLANT CTRL_F LEVEL1 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooccoo occcco occcco occcco occcco occcco	corlab_dead	Kbot-Labor	Tech Level 1	114	Labo de Kbots	Niveau Tech 1	1	2	1	1	1	1	1	Laboratorio Kbot	Produce Kbots	Laboratorio Kbot	Produce Kbot	1																					1024																																																																									
CORLEVLR.UNITINFO	CORLEVLR	1.2	CORE	CORLEVLR	TB-LG	Leveler	Riot Tank	2	2	1887	292	375	12	17	0.3	4209	0	1	0	1	1	0	220	0	CORE_TANK	0	0	MEDIUM_UNITEX	MEDIUM_UNIT	CORE TANK LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		CORLEVLR_dead	Leveler	Vernichtungspanzer	266	Levier	Tank émeute	1	2	1	1	1	1	1	Apisonadora	Tanque Antidisturbios	Leveler	Carro armato d'assalto		1	0.8	0.19	0.02	220	2	1							0.3		Standby	640	TANKSH2				1	CORLEVLR_WEAPON		VTOL																			VTOL																																						1												
CORLLT.UNITINFO	CORLLT	1	CORE	CORLLT	F-L44	Light Laser Tower	Light Laser Tower	2	2	2608	268	710	0	10	0	4724	0	0	0	1	1	0	350	0	LLT	100	0	MEDIUM_BUILDINGEX	MEDIUM_BUILDING	CORE defensive weapon level1 NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	corllt_dead	Leichter Laserturm	Leichter Laserturm	115	Tourelle laser	Tour laser  	1	2					1	Torre Láser Ligera	Torre láser ligera	Torretta Laser Leggera	Torretta laser leggera	1							1									GUARD_NOMOVE					32768	1	CORE_LIGHTLASER		VTOL	VTOL																																																																				
CORMAKR.UNITINFO	CORMAKR	1	CORE	CORMAKR	MM-15	Metal Maker	Metal Maker	4	3	700	0	150	0	10	60	2682	0	0	0	1	1	0	210	0	CORE_MAKER	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	CORE METAL LEVEL1 NOWEAPON  NOTAIR NOTSUB 	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooooooo	cormakr_dead	Metallgenerator	Wandelt Energie in Metall um	116	Métallo	Transforme le métal en énergie								Productor de Metal	Produce metal	Generatore di Metallo	Fabbrica metalli	1																					8192			1						1	1																																									1																						
CORMART.UNITINFO	CORMART	1	CORE	CORMART	MB-PS15	Mobile Artillery	Mobile Artillery	3	3	1535	251	600	0	12	0.5	4523	0	1	0	1	1	0	230	0	CORE_TANK	0	0	BIG_UNITEX	BIG_UNIT	CORE TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		cormart_dead	Pillager	Mobile Artillerie	117	Maraudeur	Artillerie mobile	1	2	1	1	1	1	1	Artillería Móvil	Artillería móvil	Artiglieria Mobile	Artiglieria mobile	1	1	0.9	0.01	0.012	350	1	1							0.5		Standby	640	TANKSH3				1	CORE_ARTILLERY		VTOL	VTOL																		VTOL																																																		
CORMEX.UNITINFO	CORMEX	1	CORE	CORMEX	ME-7	Metal Extractor	Extracts Metal	3	3	514	51	175	0	10	3	1874	0	0	0	1	1	0	210	0	CORE_MEX	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	CORE metal extractor level1 NOWEAPON NOTAIR NOTSUB 	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	cormex_dead	Metallextraktor	Gewinnt Metall	118	Extracteur	Extrait le métal								Extractor de Metal	Extrae metales	Estrattore di Metallo	Estrae metalli	1																					2048									1	1																																														0.001																	
CORMIST.UNITINFO	CORMIST	1	CORE	CORMIST	MA-GM2	Slasher	Missile Launcher	3	3	947	116	655	12	16	0.5	1820	0	1	0	1	1	0	230	0	CORE_VEHICLE	0	0	BIG_UNITEX	BIG_UNIT	CORE TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		cormist_dead	Slasher	Raketenwerfer	119	Fusor	Lance-missiles	1	2	1	1	1	1	1	Slasher	Lanzamisiles móvil	Slasher	Lanciamissili	1	1	1.45	0.012	0.027	512	1	1							0.5		Standby	640	TANKSH3				1	CORTRUCK_MISSILE		NOTAIR	NOTAIR																																																																				
CORMOHO.UNITINFO	CORMOHO	1	CORE	CORMOHO	MD-2	Moho Mine	Advanced Metal Extractor	5	5	9121	1450	1465	0	10	12	32500	0	0	0	1	1	0	210	0	CORE_MOHO	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	CORE metal extractor level3 NOWEAPON NOTAIR NOTSUB 	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooooooooooooooooooo	cormoho_dead	Moho-Mine	Verbesserter Metallextractor	120	Mine Moho	Extracteur de métal évolué								Mina Moho	Extractor avanzado de metales	Estrattore Moho	Estrattore di metallo avanzato	1																					2048									1	1																																														0.003																	
